1,1
2,1
3,10
4,2
5,12
6,8
7,10
7,11
8,5
9,9
10,5
11,12
12,13
12,12
12,8
13,5
14,11
15,10
16,4
17,5
18,10
19,5
20,13
20,12
20,11
20,10
20,3
20,4
20,5
20,6
20,7
20,8
20,2
20,9
21,8
21,11
21,13
22,13
22,12
22,11
22,11
22,4
22,5
22,6
22,8
22,2
22,9
23,3
24,11
24,10
25,6
26,12
26,7
26,9
27,6
28,4
29,8
30,4
30,8
31,8
32,12
33,13
34,11
35,12
36,12
37,11
38,13
38,4
39,12
40,6
41,11
41,10
42,13
43,13
44,13
45,13
45,6
46,11
47,2
48,13
48,4
49,5
50,12
51,2
52,3
53,13
54,9
55,8
56,11
57,12
58,6
59,9
60,2
61,3
62,8
63,2
64,5
65,11
66,13
67,13
68,11
69,6
70,12
71,12
72,13
72,12
73,12
74,4
74,2
75,2
76,6
77,4
78,11
79,5
80,12
81,13
82,2
83,12
84,12
85,5
86,12
87,12
88,4
89,12
90,12
90,11
90,10
90,5
90,6
91,6
92,12
93,12
94,9
95,10
96,4
97,2
98,12
99,12
100,11
100,3
101,3
102,10
103,5
103,6
104,12
105,12
106,13
106,6
107,12
108,13
108,12
109,9
110,4
111,2
112,12
113,9
114,2
115,13
115,4
116,12
116,11
116,10
117,11
118,13
119,2
120,2
121,3
122,13
122,12
122,10
123,9
124,12
125,12
126,9
127,2
128,12
129,12
129,11
130,11
130,10
131,13
131,12
131,3
132,12
133,6
134,3
134,5
135,2
136,13
137,12
138,12
139,12
140,2
141,5
142,4
143,11
144,11
144,10
145,6
146,5
147,12
148,12
149,12
150,11
150,8
151,12
152,12
153,3
154,13
155,11
156,3
157,12
158,12
159,13
160,9
161,13
161,10
162,12
163,12
163,11
163,10
164,12
165,3
166,6
167,12
168,13
169,10
170,6
171,12
172,13
173,6
174,9
175,12
176,12
177,12
178,6
179,12
180,6
181,5
182,11
183,5
184,6
185,4
185,7
186,5
187,11
188,12
189,12
190,11
191,11
192,12
193,7
194,10
195,12
196,12
197,4
198,10
199,3
200,5
201,5
202,9
203,9
204,5
205,13
205,2
206,12
207,10
208,5
209,12
209,11
210,11
211,12
212,9
213,11
214,10
215,12
216,7
217,12
218,2
219,13
219,12
220,12
221,13
222,13
223,12
223,11
223,10
223,3
223,2
224,11
225,10
226,10
227,10
228,2
229,3
230,4
231,13
231,12
231,11
231,10
231,3
231,4
231,5
231,6
231,7
231,8
231,2
231,9
232,10
233,12
234,10
235,13
235,2
236,6
237,6
238,6
239,12
240,12
241,12
241,11
242,2
243,9
244,13
244,12
245,12
246,3
247,11
248,12
249,2
250,12
251,12
252,11
253,11
254,6
255,13
256,4
257,10
258,9
259,3
260,12
260,11
260,10
261,2
262,12
263,12
263,10
263,2
264,12
265,9
266,12
267,12
267,7
268,12
268,7
269,12
270,6
271,10
272,12
273,11
274,10
275,12
276,10
277,9
278,12
279,12
280,7
281,13
282,11
283,11
284,12
285,8
286,3
287,13
287,3
287,4
287,5
287,6
287,7
287,8
287,2
287,9
288,13
289,10
290,12
291,2
292,13
293,13
294,8
295,3
296,13
297,12
298,10
299,5
300,8
301,3
302,11
303,10
304,6
305,11
306,4
307,12
308,3
309,6
310,12
311,13
312,10
313,12
314,2
315,9
316,10
317,10
318,11
319,12
320,5
321,8
322,5
323,12
324,8
325,3
326,9
327,13
328,10
329,6
330,11
331,3
332,12
333,2
334,3
335,2
336,12
337,2
338,12
339,4
340,13
340,12
340,9
341,11
342,13
342,12
343,13
344,12
345,11
346,8
347,12
348,11
349,8
350,12
351,13
352,6
353,12
353,11
354,6
355,7
356,12
356,10
357,2
358,12
358,10
359,12
360,13
360,12
360,11
360,10
360,3
360,4
360,5
360,6
360,7
360,8
360,2
360,9
361,5
362,9
363,6
364,3
365,11
366,9
367,6
368,6
369,9
370,6
371,10
372,12
373,13
373,4
374,12
375,12
375,11
376,13
376,10
377,13
378,12
379,10
380,8
381,12
381,11
381,10
382,13
382,5
383,6
384,12
385,2
386,11
387,9
388,13
389,11
390,2
391,9
392,10
393,12
394,3
395,12
396,8
397,10
398,13
398,11
398,3
399,5
400,10
401,2
402,13
402,10
403,3
404,12
405,2
406,12
407,13
407,6
408,10
409,11
410,13
411,10
411,7
411,8
412,9
413,12
414,12
415,12
415,11
416,13
417,10
418,12
419,6
420,9
421,12
422,5
423,11
424,13
425,12
426,9
427,12
428,8
429,8
430,2
431,13
432,12
433,12
433,10
434,11
435,12
436,2
437,10
438,12
439,6
440,12
441,12
442,2
443,5
444,2
445,12
446,12
447,12
448,11
449,12
450,12
450,11
451,9
452,11
453,11
454,6
455,13
455,12
455,10
456,13
456,5
457,13
458,9
459,11
460,12
461,6
462,5
463,3
464,13
465,12
465,6
465,2
466,12
467,5
468,13
468,9
469,2
470,4
471,8
